Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
31.0,4.0,2.0,14.595914211241366,198957000000.0,294361000000.0,1967923.0,7359197.0,76743093231.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.32123795,-99.03604101,33.67825359,-111.4708913,1.0,1.0,2.0,3.0,17.515895874182647,25.018609812195567,3.0
4.0,31.0,1.0,14.595914211241366,294361000000.0,198957000000.0,7359197.0,1967923.0,293035865343.0,76743093231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,41.32123795,-99.03604101,1.0,1.0,3.0,2.0,25.018609812195567,17.515895874182647,4.0
31.0,4.0,1.0,14.595914211241366,198957000000.0,294361000000.0,1967923.0,7359197.0,76743093231.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.32123795,-99.03604101,33.67825359,-111.4708913,1.0,1.0,2.0,3.0,17.515895874182647,25.018609812195567,4.0
4.0,32.0,148.0,8.250026967212142,294361000000.0,284537000000.0,7359197.0,3177772.0,293035865343.0,121336868276.0,0.0,1.0,26.408072742199746,26.374129134780752,26.408072742199746,26.01635455792016,2.110216469094234,2.0,2.0,33.67825359,-111.4708913,39.24605215,-117.5587944,1.0,1.0,3.0,2.0,25.018609812195567,28.534917328530877,4.0
32.0,4.0,148.0,8.250026967212142,284537000000.0,294361000000.0,3177772.0,7359197.0,121336868276.0,293035865343.0,0.0,1.0,26.408072742199746,26.374129134780752,26.408072742199746,26.01635455792016,2.110216469094234,2.0,2.0,39.24605215,-117.5587944,33.67825359,-111.4708913,1.0,1.0,2.0,3.0,28.534917328530877,25.018609812195567,4.0
4.0,35.0,137.0,5.650715367945836,294361000000.0,314199000000.0,7359197.0,2113344.0,293035865343.0,71676175104.0,0.0,1.0,26.408072742199746,26.47329238007668,26.408072742199746,23.670266671494115,1.7317821509392226,2.0,2.0,33.67825359,-111.4708913,34.54561168,-105.8871404,1.0,1.0,3.0,1.0,25.018609812195567,21.339852695679816,4.0
35.0,4.0,137.0,5.650715367945836,314199000000.0,294361000000.0,2113344.0,7359197.0,71676175104.0,293035865343.0,0.0,1.0,26.408072742199746,26.47329238007668,26.408072742199746,23.670266671494115,1.7317821509392226,2.0,2.0,34.54561168,-105.8871404,33.67825359,-111.4708913,1.0,1.0,1.0,3.0,21.339852695679816,25.018609812195567,4.0
4.0,36.0,42.0,37.0720411908605,294361000000.0,122050000000.0,7359197.0,19677151.0,293035865343.0,933110177571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,42.55441095,-75.47714089,1.0,0.0,3.0,5.0,25.018609812195567,20.306235500394656,3.0
36.0,4.0,42.0,37.0720411908605,122050000000.0,294361000000.0,19677151.0,7359197.0,933110177571.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.55441095,-75.47714089,33.67825359,-111.4708913,0.0,1.0,5.0,3.0,20.306235500394656,25.018609812195567,3.0
4.0,37.0,3.0,32.027712208931845,294361000000.0,125933000000.0,7359197.0,10698973.0,293035865343.0,414060954073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,35.62288795,-79.50227002,1.0,0.0,3.0,4.0,25.018609812195567,18.22812437748468,3.0
37.0,4.0,3.0,32.027712208931845,125933000000.0,294361000000.0,10698973.0,7359197.0,414060954073.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.62288795,-79.50227002,33.67825359,-111.4708913,0.0,1.0,4.0,3.0,18.22812437748468,25.018609812195567,3.0
4.0,42.0,5.0,34.59841388758741,294361000000.0,115882000000.0,7359197.0,12972008.0,293035865343.0,538195639912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,40.82029613,-77.61765701,1.0,1.0,3.0,4.0,25.018609812195567,18.7216652918346,3.0
42.0,4.0,5.0,34.59841388758741,115882000000.0,294361000000.0,12972008.0,7359197.0,538195639912.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.82029613,-77.61765701,33.67825359,-111.4708913,1.0,1.0,4.0,3.0,18.7216652918346,25.018609812195567,3.0
4.0,47.0,14.0,25.458065515842396,294361000000.0,106792000000.0,7359197.0,7051339.0,293035865343.0,258812346656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,35.88471808,-86.10862377,1.0,1.0,3.0,4.0,25.018609812195567,16.086867263002663,3.0
