Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2013,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"13,961",,13961
CENSUS,2013,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),120,,120
CENSUS,2013,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"4,231",,4231
CENSUS,2013,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"6,580",,6580
CENSUS,2013,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),205,,205
CENSUS,2013,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),220,,220
CENSUS,2013,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"6,469",,6469
CENSUS,2013,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),524,,524
CENSUS,2013,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"1,126",,1126
CENSUS,2013,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND), (D),,
CENSUS,2013,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"4,027",,4027
CENSUS,2013,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"14,215",,14215
